Data;Modalidade;Cidade;Órgão;Natureza;Função;Categoria_Final;Objeto;Valor;Link;Status_Duplicidade
2026-01-02;Pregão;Natal;COMANDO DO EXERCITO;AQUISIÇÃO;OUTROS;AQUISIÇÃO - OUTROS;Aquisição de gêneros alimentícios (QR) 2º semestre.;5328282.99;https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/landing?destino=acompanhamento-compra&compra=16034205900302026;ORIGINAL
2026-01-02;Dispensa;Natal;CONSELHO REGIONAL DE MEDICINA DO ESTADO DO RN;AQUISIÇÃO;OUTROS;AQUISIÇÃO - OUTROS;contratação de empresa especializada na prestação de Serviço Telefônico Fixo Comutado (STFC), abrangendo chamadas locais, de longa distância nacional (LDN), com ligações ilimitadas, portabilidade dos números atuais e plena compatibilidade com a central telefônica digital IP AVAYA IP500 V2, instalada na sede do CREMERN em Natal/RN. O serviço deverá ser prestado de forma contínua e ininterrupta, com atendimento técnico e suporte às unidades de Natal, Mossoró, Caicó e Pau dos Ferros.;16864.0;;ORIGINAL
2026-01-02;Dispensa;Natal;INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DO RIO GRANDE DO NORTE;SERVIÇOS;OUTROS;SERVIÇOS - OUTROS;Contratação emergencial do serviço de apoio especializado aos estudantes com necessidades educacionais específicas.;11796875.19;;ORIGINAL
2026-01-04;Dispensa;São Rafael;MUNICIPIO DE SAO RAFAEL;AQUISIÇÃO;OUTROS;AQUISIÇÃO - OUTROS;Contratação de serviços de arbitragem para atuação em eventos esportivos realizados no Município de São Rafael.;70498.88;;ORIGINAL
2026-01-05;Pregão;Jardim de Angicos;MUNICIPIO DE JARDIM DE ANGICOS;SERVIÇOS;EDUCAÇÃO - TRANSPORTE;SERVIÇOS - EDUCAÇÃO - TRANSPORTE;REGISTRO DE PREÇOS PARA FUTURA E EVENTUAL CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NA PRESTAÇÃO DOS SERVIÇOS DE TRANSPORTE ESCOLAR DA REDE MUNICIPAL E ESTADUAL DESTE MUNICÍPIO, CONFORME CONDIÇÕES ESTABELECIDAS NO TERMO DE REFERÊNCIA.;3607711.8;;ORIGINAL
2026-01-05;Pregão;Santo Antônio;MUNICIPIO DE SANTO ANTONIO;AQUISIÇÃO;OUTROS;AQUISIÇÃO - OUTROS;[Portal de Compras Públicas] - Aquisição futura e eventual de gás liquefeito (GLP) acondicionado em botijões metálicos transportáveis para atender às demandas das secretarias municipais do Município de Santo Antônio/RN.;106600.87;https://portaldecompraspublicas.com.br/processos/RN/Prefeitura-Municipal-de-Santo-Antonio-1615/RPE-49-2025-2026-447820;ORIGINAL
2026-01-05;Pregão;Mossoró;MUNICIPIO DE MOSSORO;AQUISIÇÃO;OUTROS;AQUISIÇÃO - OUTROS;[Portal de Compras Públicas] - O objeto da presente licitação é a escolha mais vantajosa para a futura e eventual fornecimento de água mineral natural, sem gás, para suprir as necessidades de abastecimento nas dependências das unidades das Secretaria Municipal de Saúde de Mossoró.;287928.0;https://portaldecompraspublicas.com.br/processos/RN/Prefeitura-Municipal-de-Mossoro-1230/RPE-18-2025-2026-447419;ORIGINAL
2026-01-05;Pregão;Serra do Mel;MUNICIPIO DE SERRA DO MEL;SERVIÇOS;OUTROS;SERVIÇOS - OUTROS;[Portal de Compras Públicas] - Fornecimento de buffet tipo almoço, incluindo preparação do ambiente, fornecimento de estrutura completa e equipe qualificada para atendimento, reposição de alimentos e manutenção durante os eventos, em apoio às ações e serviços do Município de Serra do Mel/RN.;147925.0;https://portaldecompraspublicas.com.br/processos/RN/Prefeitura-Municipal-de-Serra-do-Mel-1071/RPE-46-2025-2026-447822;ORIGINAL
2026-01-05;Pregão;Santo Antônio;MUNICIPIO DE SANTO ANTONIO;AQUISIÇÃO;OUTROS;AQUISIÇÃO - OUTROS;Aquisição futura e eventual de gás liquefeito (GLP) acondicionado em botijões metálicos transportáveis para atender às demandas das secretarias municipais do Município de Santo Antônio/RN.;106600.87;;ORIGINAL
2026-01-05;Pregão;Macaíba;MUNICIPIO DE MACAIBA;AQUISIÇÃO;OUTROS;AQUISIÇÃO - OUTROS;Aquisição de suplementos nutricionais, que serão entregues aos pacientes que participam do Programa de Alimentação e Nutrição - PAN, essa distribuição se dará aos pacientes que necessitam de alimentação complementar em algum momento do seu estágio de vida, sendo os mesmos atendidos nas Estratégias de Saúde da Família, no Centro de Saúde – Luiz Antônio Fonseca, Unidade de Pronto Atendimento Aluízio Alves – UPA, como também mediante atendimento domiciliar.;7766091.6;;ORIGINAL
